ID,What is the rating of the news?,Any visual data required to judge the verdict?,Does the news disseminator know that the news is false?,"If no (Misinformation), how does the disseminator misunderstand the news?","If yes (Disinformation), how was the news created?",What is the purpose of the false news?,What is the indicator clue for the purpose?,Any hidden Context?,To what extent is the news harmful to society?,Category of harm?
345,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,మత్స్య సంపద యోజనను కింద తెలంగాణ రాష్ట్రానికి 52.13 కోట్లు విడుదల చేసింది.,None,1,Threat to correct understanding of politics and social events
346,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,Propaganda,పాప్‌కార్న్ తయారీకి ఉపయోగించే వంటనూనెలో అరెస్టు చేశారు. ఉమ్మివేసాడు అనే ఆరోపణతో,None,1,Health
347,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,Propaganda,తీర్పులో నివాస గృహంలో ప్రార్థనలు జరుపుకోవడానికి ఏ అధికారి దగ్గర అనుమతి తీసుకోవాల్సిన అవసరం లేదని పేర్కొంది.,None,1,Threat to correct understanding of politics and social events
348,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,Propaganda,వీడియోలోని ఘటన బ్రెజిల్ దేశంలో జరిగింది.,None,2,Prejudice against country and race
349,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Propaganda,15 ఏళ్ల వ్యవధిలో 41.5 కోట్ల మంది భారతీయులు పేదరికం నుంచి బయటపడ్డారు.,None,1,Threat to correct understanding of politics and social events
350,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,ఈ ఫోటోలో ఉన్నది నరేంద్ర మోదీ తమ్ముడు కాదు,None,1,Threat to honor and trust in people and companies
351,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,Satire / Parody,భారత అంతరిక్ష పరిశోధనా సంస్థ (ఇస్రో) కూడా ఇది తప్పుడు సమాచారమని,None,1,Harmless
352,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,Satire / Parody,ఒక వరద కారణంగా అక్కడ ఉన్న స్మశానవాటికలో ఈ దుస్థితి చోటుచేసుకొంది.,None,2,Confusion and anxiety about society
353,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Propaganda,ఈ లేఖ ఫేక్ అని అచ్చెన్నాయుడు స్పష్టం చేశారు,None,1,Threat to correct understanding of politics and social events
354,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,Propaganda,ప్రభుత్వం నియమాలకు లోబడని కంపెనీల రిజిస్ట్రేషన్ రద్దు చేయడం అనేది నిరంతరం జరిగే ప్రక్రియ,None,1,Threat to correct understanding of politics and social events
355,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,అయోధ్య తీర్పు వెలువడిన నేపథ్యంలో అజిత్ దోవల్ తన నివాసంలో ముస్లిం పెద్దలను కలిసి చర్చించిన సందర్భానికి సంబంధించింది.,None,2,Prejudice against country and race
356,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",Inadequate understanding,Manipulated image,Propaganda,‘ABN ఆంధ్రజ్యోతి’ వార్తా సంస్థ రిపోర్ట్ చేసిన బులెటిన్ ఫోటోని ఎడిట్ చేసి ఈ ఫోటోని రూపొందించారు,None,1,Harmless
357,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,Satire / Parody,ఈజిప్ట్ రాజు నెక్టెనాబో తన మోకాళ్ళపై కూర్చొని చేతిలోని బ్రెడ్(రొట్టె)ని సమార్పిస్తున్నాడని,None,1,Harmless
358,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,Propaganda,"ఇందులో ఒకరు హిందూ కాగా, ఇంకొకరు ముస్లిం",హిందువులు ఇస్లామిక్ టెర్రరిస్టులలో లేరు,2,Prejudice against country and race
359,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,హార్వర్డ్ యూనివర్సిటీ ఇటువంటి అధ్యయనం చేసిందని చెప్పడానికి ఎటువంటి ఆధారాలు లేవు,None,1,Prejudice against country and race
360,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,ఎడిటెడ్ వెర్షన్.,None,2,Threat to correct understanding of politics and social events
362,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,ఈ ఘటన పాకిస్తాన్‌లోని కరాచీలో జరిగినట్టు తెలుస్తుంది,None,2,Prejudice against country and race
362,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,టాబ్లెట్స్ ఫోటోలు అసలు భారతదేశంలో తీసినవి కావు.,None,1,Health
363,half true & half false,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,Satire / Parody,ఈ ఆలయ నిర్మాణం 2009లో ప్రారంభించగా 2015లో పూర్తయ్యింది,None,1,Harmless
364,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,ఈ సంఘటన ఇప్పటిది కాదు,None,2,Prejudice against country and race
365,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,Propaganda,ఆమె తన కూతురు కాదు.,None,1,Threat to honor and trust in people and companies
366,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,Propaganda,మెక్సికో దేశంలో ప్రదర్శించబడిన పోప్ జాన్ పాల్ II మైనపు బొమ్మని ఈ వీడియో చూపిస్తుంది.,None,1,Confusion and anxiety about society
367,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,Propaganda,ఈ వీడియోలోని దృశ్యాలు పాకిస్తాన్ దేశం లాహోర్‌లో జరిగిన ఘటనకు సంబంధించినవి.,None,2,Prejudice against country and race
368,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Satire / Parody,ఈ గద భారతదేశంలోని ఇండోర్‌లోని ‘పిత్ర పర్వత్’ ఆలయంలో ప్రతిష్టింపబడింది.,None,1,Harmless
369,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Propaganda,తెలుగుదేశం సోషల్ మీడియా సెల్‌ను తప్పుబడుతూ నారా బ్రాహ్మాణి ఇటీవల ఎటువంటి ట్వీట్ చేయలేదు.,None,1,Threat to honor and trust in people and companies
370,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,అయితే ఈ పరిశోధనా వ్యాసంలో ఎక్కడా కూడా ‘విఠ్ఠల విఠ్ఠల’ నామజపం చేస్తే గుండెపోటు రాదని చెప్పలేదు.,None,1,Harmless
371,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,Manipulated image,Satire / Parody,ప్రభుత్వ ఉద్యోగుల పదవీ విరమణ వయసును 62 నుండి 65 సంవత్సరాలకు పెంచుతూ ఆంధ్రప్రదేశ్ ప్రభుత్వం ఇటీవల ఎటువంటి కొత్త ఆర్డినెన్స్ జారీ చేయలేదు,None,1,Harmless
372,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,అది పూర్తిగా ఫేక్ వార్తా అని ‘Way2News’ స్పష్టం చేసింది,None,1,Threat to correct understanding of politics and social events
373,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,ఆ మహిళ బిర్యానీలో ఆవు పేడ కలుపుకొని తినలేదు.,None,1,Threat to honor and trust in people and companies
374,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,Manipulated text,Satire / Parody,న్ జాన్ కామ్ అనే ఒక డాక్టర్,None,1,Threat to correct understanding of politics and social events
375,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,మాజీ ప్రధాని పి.వీ.నరసింహారావు అంత్యక్రియలను అప్పటి ఆంధ్రప్రదేశ్ రాజధాని,None,1,Threat to honor and trust in people and companies
376,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Satire / Parody,విద్యార్థి-ఉపాధ్యాయ నిష్పత్తి,None,1,Harmless
377,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Propaganda,తమిళనాడు రాష్ట్రం చెన్నై ఆంజనేయర్ నగరం స్వామి దేవాలయాన్ని ప్రభుత్వ రెవెన్యూ అధికారులు కూల్చివేస్తున్న దృశ్యాలను,None,2,Confusion and anxiety about society
378,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Satire / Parody,తాము పూర్తిగా ఉచిత చికిత్స అందించడం లేదని కంచి కామకోటి చైల్డ్స్ ట్రస్ట్ ఆసుపత్రి,None,1,Harmless
379,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Propaganda,‘ABN’ వార్తా ఛానెల్ స్క్రీన్ షాట్ మార్ఫ్ చేసినది.,None,2,Threat to correct understanding of politics and social events
380,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,కాజల్ శింగాల పోస్టులో తెలుపుతున్నట్టు IPS ఆఫీసర్ కాదు,None,1,Threat to honor and trust in people and companies
381,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Propaganda,ఈ వీడియోలోని వ్యక్తిని నిలదీస్తున్నది హిందూ అధికారిని లేదా న్యాయమూర్తి కాదు,None,1,Threat to honor and trust in people and companies
382,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Satire / Parody,బంగ్లాదేశ్‌లోని కమిల్లా రైల్వే లెవెల్ క్రాసింగ్‌,None,1,Harmless
383,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,ఈ న్యూస్ క్లిప్‌లను ఇంటర్నెట్‌లో అందుబాటులో ఉన్న కొన్ని పాత న్యూస్ క్లిప్‌లను డిజిటల్‌గా జోడించి రూపొందించారు.,None,2,Confusion and anxiety about society
384,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,ఈ వీడియో అసంపూర్ణమైనది.,None,2,Prejudice against country and race
385,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,ఈ వీడియోలోని మహిళ ప్రయాణిస్తున్న బస్సుని లారీ ఢీ కొట్టడంతో ఆమె తన చేయి పొగిట్టుకుంది.,None,1,Harmless
386,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Satire / Parody,చైనాలోని గన్సు ప్రావిన్స్‌,None,1,Harmless
386,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Satire / Parody,1967లోనే రాష్ట్రపతిగా రాధాకృష్ణన్ పదవీకాలం ముగిసింది.,None,1,Harmless
388,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,ఈ మాటలు సీఎం జగన్ ప్రతిపక్ష నాయకుడు చంద్రబాబు నాయుడుని ఉద్దేశించి అన్నారు.,None,1,Threat to correct understanding of politics and social events
389,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,ఈ ఘటన జరిగింది రాజస్తాన్ రాష్ట్రంలోని జున్జును జిల్లాలో,None,1,Harmless
390,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,ఇది చైనాలోని గ్వాంగ్జౌ నగరంలో ఉంది.,None,1,Harmless
391,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,చనిపోయిన వ్యక్తి అంత్యక్రియల సమయంలో బంధువులు అతని మరణాన్ని నిరసిస్తూ ఈ ప్రసంగం చేశారు.,None,2,Prejudice against country and race
392,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Propaganda,ఈ ప్రసంగంలోని కొంత భాగాన్ని మాత్రమే ఎడిట్ చేసి మోదీ ఇప్పుడు గర్వంగా ఈ వ్యాఖ్యలు చేసినట్టు షేర్ చేస్తున్నారు,None,2,Threat to correct understanding of politics and social events
393,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,ప్రమాదానికి కారణమైన వ్యక్తులు వివరాలు ఇంకా సీబీఐ వెల్లడించలేదు.,None,1,Confusion and anxiety about society
394,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Propaganda,"తాము అన్ని మతాలను, కులాలను గౌరవిస్తామని",None,1,Prejudice against country and race
395,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,Propaganda,ఆసిఫ్ మొహమ్మద్ ఖాన్ అనుమతి లేకుండా ఒక మీటింగ్ నిర్వహించినందుకు పోలీసలు అడ్డుకున్నారు,None,2,Prejudice against country and race
396,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Propaganda,ఈ ఘటన పాకిస్తాన్‌లోని లాహోర్‌లో జరిగింది.,None,1,Threat to honor and trust in people and companies
397,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Satire / Parody,బీజేపీ ప్రభుత్వం వచ్చిన తరువాత తీసిన చిత్రాలనే చూపిస్తున్నాయి,None,1,Harmless
398,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Satire / Parody,ఫొటోలో ఉన్న బోర్డు బెంగుళూరులోని నల్లూరుహళ్లిలో ఉన్న ‘నాయుడు ఆంధ్ర మెస్’ది.,None,1,Harmless
399,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,కోవిడ్-19 బారిన పడి చనిపోయిన వ్యక్తులను ఖననం,None,3,Confusion and anxiety about society
400,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,నిరసనగా కొందరు ముస్లింలు ఉదయ్‌పూర్‌లోని చేతక్ సర్కిల్ వద్ద నిరసన చేపట్టారు.,మహారాణా ప్రతాప్ మొఘలులను ఎదిరించాడు,2,Threat to correct understanding of politics and social events
401,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,హజ్ యాత్రికులకు ఎటువంటి విరాళం ఇవ్వలేదని అప్పటి ట్రస్ట్ సి.ఈ.ఓ రాహుల్ జాదవ్ స్పష్టం చేశారు.,None,1,Harmless
402,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,ఆగష్టు 2021లో పాకిస్తాన్‌లోని రహీమ్ యార్ ఖాన్ జిల్లాలో,None,3,Prejudice against country and race
403,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,అమెరికాలోని ఫిలడెల్ఫియా మ్యూజియంలో ప్రదర్శనకు ఉంచిన పంచముఖ శివలింగం శిల్పాన్ని ఈ ఫోటో చూపిస్తుంది.,None,1,Harmless
404,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Propaganda,వీడియో యొక్క పూర్తి వెర్షన్,None,2,Threat to honor and trust in people and companies
405,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,none,none,1,Harmless
406,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,అలాగే రోడ్స్ అండ్ ట్రాన్స్పోర్ట్ అథారిటీ వెబ్‌సైట్‌లో అడ్రస్  మరియు ఇతర వివరాలు స్పష్టంగా కనిపిస్తున్నాయి.,None,2,Confusion and anxiety about society
407,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,ఇది పాకిస్తాన్‌లోని ప్రముఖ కంటి స్పెషలిస్ట్ డాక్టర్ జాఫర్,None,1,Threat to honor and trust in people and companies
408,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Satire / Parody,శక్తి పథకం ద్వారా రాష్ట్రం లోపల ఎంత దూరమైన ప్రయనించోచు,None,1,Confusion and anxiety about society
409,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Satire / Parody,వీడియో ఎడిట్ చేయబడినది.,ధారిని కేసీఆర్ ప్రవేశపెట్టారు,1,Confusion and anxiety about society
410,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Propaganda,ఇద్దరు వేర్వేరు మహిళల ఫోటోల,None,1,Threat to honor and trust in people and companies
411,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Propaganda,వీడియోలోని ఘటన పాకిస్తాన్‌లోని కరాచీలో జరిగింది.,None,1,Confusion and anxiety about society
412,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,Propaganda,ఈ మహిళ డ్రగ్స్ కు బానిస,None,1,Confusion and anxiety about society
413,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,సైకిల్లను బిఎస్పీ నేతకు చెందిన కారు ఢీ కొట్టడంతో,None,1,Confusion and anxiety about society
414,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,ఈ వీడియో బంగ్లాదేశ్‌లోని కిషోర్‌గంజ్ పాగ్లా మసీదుకు సంబంధించింది.,None,1,Confusion and anxiety about society
415,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,Satire / Parody,పక్కనే ఉన్న ట్రాఫిక్ సిగ్నల్ లైట్‌ మంటలకు కరిగిపోయింది.,None,1,Harmless
416,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,Propaganda,శివమ్ యాదవ్ అనే వ్యక్తి తన భార్య జ్యోతిపై వరకట్నం కోసం దాడి చేశాడు.,None,1,Harmless
417,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,Propaganda,ట్వీట్ యొక్క స్క్రీన్ షాట్.,None,1,Threat to correct understanding of politics and social events
418,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,మూడు వీడియోలు పాతవి.,None,2,Threat to correct understanding of politics and social events
419,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,దళితులకు ప్రవేశం లేదని చెప్తూ ఆ చిత్ర బృందం ప్రకటించింది.,None,2,Prejudice against country and race
420,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,None,None,1,Harmless
421,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Satire / Parody,ఇండోనేషియా,None,1,Harmless
422,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Propaganda,అది ఇస్కాన్ మందిరం,None,2,Prejudice against country and race
423,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,False context,Propaganda,మహిళా రెజ్లర్లకు మద్దతు తెలుపుతూ భారత క్రికెటర్ ధోని ఈ వ్యాఖ్యలు చేయలేదు,None,1,Threat to honor and trust in people and companies
424,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Satire / Parody,ఆటోఫజి (Autophagy) ప్రక్రియ పనితీరు పై చేసిన పరిశోధనలకుజపాన్,None,1,Harmless
425,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Satire / Parody,ఇంకా ఎన్నికల తేదీలను మాత్రం ప్రకటించలేదు.,None,1,Harmless
426,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,Propaganda,ఈజిప్ట్ దేశం కైరో నగరం,None,1,Confusion and anxiety about society
427,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Satire / Parody,వైరల్ ఫోటో ఎడిట్ చేయబడినది.,None,1,Harmless
428,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Satire / Parody," (ICCR) అబ్దుల్ కలాం, వాజ్‌పేయీ పేర్లతో భారతదేశంలోని విశ్వవిద్యాలయాల్లో చదువుకునే విదేశీయులకు స్కాలర్షిప్‌లను అందిస్తుంది",None,1,Harmless
429,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Satire / Parody,ఇందులో కనిపిస్తున్న వ్యక్తి యునైటెడ్ అరబ్ ఎమిరేట్స్,None,1,Harmless
430,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,None,None,2,Confusion and anxiety about society
431,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,No purpose,None,None,1,Conspiracy Theory
431,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,"పోలీసులకు మరియు విద్యార్థులకు మధ్య జరిగిన ఘర్షణ సమయం,మరొక ఫోటో ఇటీవల కాశ్మీర్‌లో జరిగిన G20 సమావేశాల సందర్భంలో తీసింది",None,1,Threat to correct understanding of politics and social events
433,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,No purpose,Cloud Antelope,None,1,Harmless
434,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,ఉగ్రదాడిలో చనిపోయిన వారి స్మారకార్ధం అక్కడి దావూదీ బోహ్రా ముస్లిం కమ్యూనిటీ సభ్యులు ఒక స్మారక సభ నిర్వహించారు.,None,2,Confusion and anxiety about society
435,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Satire / Parody,సెంగోల్ ఒక కట్టుకథ అని కొట్టిపాడేయడం లేదా సెంగోల్ ఉనికిని ప్రశ్నించడం చేయలేదు,None,1,Harmless
436,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,కత్తితో దాడి చేసి గాయపరిచాడని,None,1,Threat to honor and trust in people and companies
437,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",None,Manipulated image,Propaganda,ఈ ఫోటోలు నిజమైనవి కావు,None,1,Harmless
438,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,దివాళీ డే’ అనే బిల్లు,None,1,Harmless
439,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,None,None,1,Harmless
440,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,వీడియోలో దాడి చేస్తున్న మహిళలు హిందూవులు కాదు.,None,1,Prejudice against country and race
441,half true & half false,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,Satire / Parody,ఇతర కాంగ్రెస్ నేతలతో కలిసి హనగల్‌లోని అల్-హజరత్ దర్గాను దర్శించుకున్నప్పుడు తీసిన దృశ్యాల,None,1,Harmless
442,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,Propaganda,శక్తి పథకాల అమలుకు సూత్రప్రాయంగా ఆమోదం తెలిపింది.,None,1,Confusion and anxiety about society
443,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,No purpose,None,None,2,Prejudice against country and race
444,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,ప్రతి పార్టీకీ లోక్‌సభ మరియు రాజ్యసభలలో కలిపి కనీసం ఒక్క ఎంపీ సీటైనా ఉంది.,None,1,Threat to correct understanding of politics and social events
445,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,ఫోటో 2019లో కాంగ్రెస్ నాయకుడు DK శివకుమార్,None,1,Threat to correct understanding of politics and social events
446,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,వీడియో రోజావా (ఉత్తర సిరియా)లో ఉమెన్స్ డిఫెన్స్ యూనిట్స్ (YPJ) నిర్వహించిన రెస్క్యూ ఆపరేషన్‌కు సంబంధించింది.,None,1,Harmless
447,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Satire / Parody,అమెరికా ఇంటెలిజన్స్ కమ్యూనిటి తమ ‘వరల్డ్ వైడ్ త్రెట్ అస్సెస్‌మెంట్ రిపోర్ట్,None,2,Threat to correct understanding of politics and social events
448,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,1892లో అమెరికాలోని డెట్రాయిట్‌లో ఉన్న మిచిగన్ కార్బన్ వర్క్స్‌,None,1,Conspiracy Theory
449,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,No purpose,None,None,1,Harmless
450,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,None,None,1,Threat to correct understanding of politics and social events
451,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,ది కేరళ స్టొరీ’ సినిమాకు ఏజ్ సర్టిఫికేషన్ లేకపోవడం,None,2,Confusion and anxiety about society
452,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,మొబైల్ ఫోన్,None,1,Harmless
453,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,Propaganda,ఈ కేసుకు సంబంధించి ఏ కోర్టు ఎటువంటి తీర్పు ఇవ్వలేదు,None,1,Confusion and anxiety about society
454,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,షేర్ చేసిన వీడియో పాతది.,None,1,Threat to correct understanding of politics and social events
